name,category,post_count,aliases
huge_breasts,0,204133,"/hb,huge_boobs,huge_breast,huge_tits"
black_shirt,0,203703,black_blouse
arm_up,0,203576,"arm_raised,one_arm_up,raised_arm"
apron,0,203205,
leotard,0,201588,
bad_twitter_id,5,199039,
character_name,0,198637,
bra,0,198512,
feet,0,197384,foot
mosaic_censoring,0,196808,"mosaic_censor,pixel_censor,rough_censoring"
high_heels,0,194985,"heels,highheels"
sweater,0,193162,sweatshirt
vaginal,0,192181,"vaginal_penetration,vaginal_sex"
blue_sky,0,191142,
animal_ear_fluff,0,189753,
crop_top,0,189640,
bracelet,0,189548,"bracelets,wristlet"
black_pantyhose,0,187732,
parted_bangs,0,187047,
collar,0,185957,
arms_up,0,184584,"arms_above,arms_above_head,arms_raised,hands_above_head,raised_arms"
:o,0,184490,:0
white_panties,0,184320,
dated,0,182667,
completely_nude,0,178329,completely_naked
cup,0,177169,"cups,drinking_cup"
grey_eyes,0,176892,"gray_eyes,silver_eyes"
red_ribbon,0,176889,
twin_braids,0,176807,"double_braid,twin_braid,twinbraid,twinbraids"
hands_up,0,175838,hands_raised
dark-skinned_female,0,174254,dark_skinned_female
fingernails,0,174179,"fingernail,finger_nails"
commission,5,174018,
looking_to_the_side,0,173986,"looking_aside,looking_to_side"
side_ponytail,0,173557,"side_tail,sidetail"
aqua_eyes,0,173445,"cyan_eyes,teal_eyes,turquoise_eyes"
puffy_short_sleeves,0,172817,short_puffy_sleeves
flat_chest,0,171787,"flatchest,flat_chested,pettanko,titty_buds,tsurupeta"
blue_skirt,0,171120,
v-shaped_eyebrows,0,170615,
two_side_up,0,169557,two_sides_up
neckerchief,0,167668,
orange_eyes,0,167193,
eyelashes,0,165429,eye_lashes
tree,0,164784,trees
symbol-shaped_pupils,0,160891,symbol_shaped_pupils
sleeves_past_wrists,0,158251,sleeves_past_wrist
multiple_views,0,158135,
covered_nipples,0,157789,"covered_erect_nipples,erect_nipple,erect_nipplees,erect_nipples,erect_nipples_under_clothes,errect_nipples,perky_nipples"
chinese_commentary,5,154827,
vocaloid,3,154567,"/vo,vocaloid_2,vocaloid_3"
cat_tail,0,153680,cat_tails
fur_trim,0,153539,fur_lining
mole_under_eye,0,153219,
strapless,0,152269,
clothing_cutout,0,152083,
see-through_clothes,0,150970,"see-through,seethrough,sheer_clothes,sheer_clothing,transparent_clothing"
hand_on_own_hip,0,150522,"hand_on_hip,hand_on_waist"
legs,0,150146,leg
toes,0,148868,
wrist_cuffs,0,148633,"detached_cuffs,wrist_cuff,wristcuff,wristcuffs"
sketch,0,148530,"rough,rough_sketch,/sk"
feet_out_of_frame,0,147754,
bar_censor,0,146820,"censor_bar,censor_bars"
sleeveless_shirt,0,146749,sleeveless_blouse
black_choker,0,146707,
upper_teeth_only,0,146675,upper_teeth
sleeveless_dress,0,146413,
wet,0,146236,"soaked,wet_body,wet_skin"
groin,0,145322,"adonis_belt,hip_lines,mound_of_venus"
maid,0,144677,"maid_costume,maid_dress,maid_outfit,maids,maid_uniform"
loli,0,144179,"lolicon,rori"
sparkle,0,144115,"sparkles,sparkling"
no_humans,0,143886,no_human
fake_animal_ears,0,143439,
v,0,143256,"peace_sign,v_sign"
gun,0,141463,"firearm,guns"
torn_clothes,0,141264,"ripped_clothes,ripped_clothing,tornclothes,torn_clothing"
pillow,0,141129,"black_pillow,blue_pillow,green_pillow,grey_pillow,orange_pillow,pillows,pink_pillow,purple_pillow,red_pillow,white_pillow,yellow_pillow"
pokemon_(creature),0,141082,
maid_headdress,0,140970,"maid_cachusha,maid_headband"
fox_ears,0,140930,"/fox,kitsunemimi"
muscular,0,138669,"muscle,muscles,muscular_male"
short_shorts,0,138509,"booty_shorts,hot_pants,hotpants,minishorts"
thigh_strap,0,138468,"legband,thigh_band,thighband,thigh_belt,thigh_straps"
head_tilt,0,137670,
gradient_background,0,137536,"/gbg,/gradientbg"
lips,0,137457,
ascot,0,137422,"cravat,jabot"
bare_arms,0,136841,
sash,0,136486,
book,0,136336,books
black_pants,0,135292,
buttons,0,135101,button
one-piece_swimsuit,0,134678,"one-piece,one_piece_swimsuit"
neck_ribbon,0,134571,
black_bow,0,134359,
cosplay,0,133784,
pubic_hair,0,133663,"hairy_pussy,pubes,pubichair"
arknights,3,133594,mingri_fangzhou
gradient_hair,0,133390,
zettai_ryouiki,0,133200,"absolute_territory,zettai_ryouki,/zr"
bare_legs,0,132974,
black_panties,0,132137,
tattoo,0,131794,"tatoo,tattoos"
plaid_clothes,0,131345,plaid_clothing
uncensored,0,131322,"descensored,uncensoring"
covered_navel,0,130274,clothed_navel
border,0,130063,"bordered,windowbox,windowboxed"
black_ribbon,0,129755,
hoodie,0,129703,
window,0,129702,
detached_collar,0,128573,
petals,0,128199,"flower_petals,petal"
colored_skin,0,127699,
azur_lane,3,127308,bilan_hangxian
single_braid,0,127308,
blurry_background,0,126844,
profile,0,126284,in_profile
kneehighs,0,125427,"knee_highs,kneehigh_socks,knee_socks,kneesocks"
blood,0,124488,
floating_hair,0,124241,"hair_blowing,space_hair"
double_bun,0,124036,"buns,double_buns,double_hair_bun,hair_buns,odango,twin_bun,twin_buns"
shiny_skin,0,123907,glistening_skin
makeup,0,122115,"make-up,make_up"
mask,0,121965,masks
facial_hair,0,121909,
dress_shirt,0,121342,
idolmaster_cinderella_girls,3,121187,cinderella_girls
pov,0,119297,male_pov
bodysuit,0,118754,body_suit
black_shorts,0,118272,
hug,0,117992,"embrace,hugging"
dutch_angle,0,117928,
aqua_hair,0,117851,"cyan_hair,teal_hair,turquoise_hair"
swept_bangs,0,117734,
blue_dress,0,117290,dark_blue_dress
blue_background,0,117244,"/bluebg,light_blue_background"
shadow,0,116509,shadows
horse_ears,0,116502,
bell,0,116211,bells
kneeling,0,116070,on_knees
sideboob,0,115960,"side_boob,side_boobs,sideboobs"
expressionless,0,115643,"emotionless,neutral_expression,unexpressive"
capelet,0,115449,"mantle,shoulder_cape"
open_shirt,0,115366,"open_blouse,openshirt,/os,shirt_open"
copyright_name,0,114800,"copyright_abbreviation,copyright_title,title_drop,title_name"
turtleneck,0,114571,turtle_neck
night,0,114190,
umamusume,3,113937,uma_musume
:3,0,113875,
leaning_forward,0,113869,
anus,0,113626,"ass_hole,asshole,butt_hole,butthole"
saliva,0,112706,"drool,spit"
blue_bow,0,112671,
skindentation,0,112434,
horse_girl,0,112225,pony_girl
black_bikini,0,112117,"black_bikini_bottom,black_bikini_top"
heterochromia,0,111967,odd_eye
hair_intakes,0,110473,hair_vents
low_twintails,0,109676,
4girls,0,109333,4girl
white_jacket,0,109226,
highleg,0,109084,
artist_request,5,108425,"/art,tagme_(artist)"
red_skirt,0,108340,
white_socks,0,108301,white_kneehighs
symbol-only_commentary,5,108048,"emoji_commentary,symbol_commentary"
scar,0,107679,scars
^_^,0,107454,^^
pussy_juice,0,107145,"pussyjuice,pussy_juice_drip,vaginal_juices,wet_pussy"
on_bed,0,107145,
watermark,0,107127,"copyright_notice,watermarked"
fruit,0,106577,fruits
siblings,0,106499,
brown_footwear,0,106129,"brown_boots,brown_shoes"
bed,0,105757,
piercing,0,105516,"pierced,piercings"
frown,0,105417,":(,:{,frowning"
