name,category,post_count,aliases
big_breasts,0,416721,",big_boobies,big_boobs,big_breast,big_breats,big_tits,bigboobs,bigbreasts,bigtits,busty,large_boobs,large_breast,large_breasts"
tongue_out,0,416254,",:p,lolling,sticking_out_tongue,sticking_tongue,sticking_tongue_out,tongnue_out,tongue-out,tongue_sticking_out,tougue_out,tounge_out,toungue_out"
sweat,0,413268,"swear,sweating,sweaty"
feet,0,406120,"bird_feet,feets,foot,unusual_feet"
multicolored_hair,0,397996,"3-color_hair,3-colored_hair,3-tone_hair,3-toned_hair,3_color_hair,3_tone_hair,3_toned_hair,black_and_green_hair,black_and_red_hair,black_and_white_hair,four_color_hair,multi-color_hair,multi-colored_hair,multi-colour_hair,multi-coloured_hair,multi-tone_hair,multi-toned_hair,multi_color_hair,multi_colored_hair,multi_colour_hair,multi_coloured_hair,multi_tone_hair,multi_toned_hair,multicolor_hair,multicolored)hair,multicolour_hair,multicoloured_hair,multitone_hair,multitoned_hair,mutlicolored_hair,red_and_black_hair,three-color_hair,three-colored_hair,three-tone_hair,three-toned_hair,three_color_hair,three_tone_hair,three_toned_hair,tri-color_hair,tri-colored_hair,tri-tone_hair,tri-toned_hair,tri_color_hair,tri_tone_hair,tri_toned_hair,tricolor_hair,tricolored_hair,tritone_hair,tritoned_hair,white_and_black_hair,yellow_and_brown_hair"
panties,0,397573,"/p,knickers,panites,pantes,pantie,pantsu,panty"
school_uniform,0,395504,"/s,fuku,school_boy,school_girl,school_girl_outfit,school_outfit,school_uniforms,schoolboy,schoolgirl,schoolgirl_clothes,schoolgirl_outfit,schoolgirl_uniform,schoolgirls,seifuku"
collarbone,0,394664,"clavicle,clavicles,collar_bone,collarbones"
pink_hair,0,393313,"/pinkh,dark_pink_hair,long_pink_hair,magenta_hair,pink)hair,pinkhair,short_pink_hair"
full_body,0,392197,
pokemon,3,386148,"alola,anthro_pokemon,anthro_pokémon,big_pokemon,big_pokémon,bug_pokemon,bug_pokémon,bug_type_pokemon,bug_type_pokémon,bug_typed_pokemon,bug_typed_pokémon,dark_pokemon,dark_pokémon,dark_type_pokemon,dark_type_pokémon,dark_typed_pokemon,dark_typed_pokémon,dragon_pokemon,dragon_pokémon,dragon_type_pokemon,dragon_type_pokémon,dragon_typed_pokemon,dragon_typed_pokémon,electric_pokemon,electric_pokémon,electric_type,electric_type_pokemon,electric_type_pokémon,electric_typed_pokemon,electric_typed_pokémon,fairy_pokemon,fairy_pokémon,fairy_type_pokemon,fairy_type_pokémon,fairy_typed_pokemon,fairy_typed_pokémon,fat_pokemon,fat_pokémon,feral_pokemon,feral_pokémon,fighting_pokemon,fighting_pokémon,fighting_type_pokemon,fighting_type_pokémon,fighting_typed_pokemon,fighting_typed_pokémon,fire_pokemon,fire_pokémon,fire_type,fire_type_pokemon,fire_type_pokémon,fire_typed_pokemon,fire_typed_pokémon,flying_pokemon,flying_pokémon,flying_type_pokemon,flying_type_pokémon,flying_typed_pokemon,flying_typed_pokémon,galar,ghost_pokemon,ghost_pokémon,ghost_type_pokemon,ghost_type_pokémon,ghost_typed_pokemon,ghost_typed_pokémon,giant_pokemon,giant_pokémon,grass_pokemon,grass_pokémon,grass_type_pokemon,grass_type_pokémon,grass_typed_pokemon,grass_typed_pokémon,ground_pokemon,ground_pokémon,ground_type_pokemon,ground_type_pokémon,ground_typed_pokemon,ground_typed_pokémon,hoenn,ice_pokemon,ice_pokémon,ice_type_pokemon,ice_type_pokémon,ice_typed_pokemon,ice_typed_pokémon,johto,kalos,kanto,kantonian,leaked_pokemon,normal_pokemon,normal_pokémon,normal_type_pokemon,normal_type_pokémon,normal_typed_pokemon,normal_typed_pokémon,pkmn,pkmnart,pkmnfanart,pocket_monster,pocket_monsters,poison_pokemon,poison_pokémon,poison_type_pokemon,poison_type_pokémon,poison_typed_pokemon,poison_typed_pokémon,pokemin,pokemmon,pokemo,pokemon_(game),pokemon_character,pokemon_company,pokemon_evolutions,pokemon_fanart,pokemon_number,pokemon_red_green_blue_&_yellow,pokemon_s/s,pokemon_scarlet,pokemon_scarlet_and_violet,pokemon_shield,pokemon_sun_and_moon,pokemon_sv,pokemon_sword,pokemon_sword_and_shield,pokemon_swsh,pokemon_theme,pokemon_violet,pokemonart,pokemonfanart,pokemons,pokemonshield,pokemonsword,pokeporn,pokémon,pokémon_(game),pokémon_anime,pokémon_company,pokémon_evolutions,pokémon_gsc,pokémon_number,pokémon_red_green_blue_&_yellow,pokémon_rgby,pokémon_rse,pokémon_s/s,pokémon_scarlet,pokémon_scarlet_and_violet,pokémon_shield,pokémon_sv,pokémon_sword,pokémon_sword_and_shield,pokémon_swsh,pokémon_violet,pokémonshield,pokémonsword,porkyman,psychic_pokemon,psychic_pokémon,psychic_type_pokemon,psychic_type_pokémon,psychic_typed_pokemon,psychic_typed_pokémon,rock_pokemon,rock_pokémon,rock_type_pokemon,rock_type_pokémon,rock_typed_pokemon,rock_typed_pokémon,sinnoh,starter_pokemon,starter_pokémon,steel_pokemon,steel_pokémon,steel_type_pokemon,steel_type_pokémon,steel_typed_pokemon,steel_typed_pokémon,too_many_pokemon,too_many_pokemons,too_many_pokémon,too_many_pokémons,unova,water_pokemon,water_pokémon,water_type_pokemon,water_type_pokémon,water_typed_pokemon,water_typed_pokémon"
upper_body,0,376812,",bust"
purple_hair,0,373537,"/purpleh,dark_purple_hair,lavender_hair,lilac_hair,long_purple_hair,purple)hair,purple-hair,purplehair,short_purple_hair,violet_hair"
grey_hair,0,359525,"dark_grey_hair,gray_hair,grey)hair,light_gray_hair,light_grey_hair,long_grey_hair,long_silver_hair,short_grey_hair,short_silver_hair,silver_hair"
weapon,0,357108,"weaponry,weapons"
photoshop_(medium),5,353211,
canis,5,348108,",anthro_canis,feral_canis"
male_focus,0,347011,",boys_only,guys_only,male,male_only,man,men"
felid,5,345680,",anthro_felid,catshepherd,catsona,felids,feline_(species),felines,feral_felid"
nintendo,3,344931,
closed_eyes,0,344127,",eyes_closed"
white_body,0,344104,",white_bdoy,whtie_body"
flower,0,336438,"flover,flowers"
mythology,3,335914,",classical_mythology,folklore,myth,mythical_creature,mythological"
male/female,0,333378,",f/m,f_m,female/male,female/male/female,female_on_male,female_x_male,femalemale,femalexmale,hetero,heterosexual,m/f,m/f/f,m/f/m,m/m/f,m_f,male/female/female,male/female/male,male_female,male_kissing_female,male_on_female,male_x_female,malefemale,malexfemale,mf,straight,straigth"
horn,0,333020,",horned,horns,neon_horn,neon_horns"
anus,0,329639,"animal_anus,anuses,ass_hole,asshole,butt_hole,butthole,canine_anus,drool_worthy_anus,exposed_anus,non-mammal_anus,rabbit_hole,rectum,tail_hole,tailhole"
ponytail,0,326082,"long_ponytail,pony_tail,ponytail_(hair),ponytail_hair,ponytails"
